1;codigo_do_canditado;nome_ canditado;codigo_do_partido
2;1;Adamastor Pequeno;30
2;1002;Adamastor Pequeno;1
2;1;Carlitos;30
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1;Carlitos;30
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1;Carlitos;30
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1;Carlitos;30
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1;Carlitos;30
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1;Carlitos;30
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1;Carlitos;30
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1;Carlitos;30
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1;Carlitos;30
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1;Carlitos;30
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1;Carlitos;30
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1;Carlitos;30
2;1001;Adamastor pequeno;2
2;2;Lula Livre;3
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1002;Candidato Aleatorio;2
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1002;Candidato Aleatorio;2
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1002;Candidato Aleatorio;2
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1002;Candidato Aleatorio;2
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1002;Candidato Aleatorio;2
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1002;Candidato Aleatorio;2
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1002;Candidato Aleatorio;2
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1002;Candidato Aleatorio;2
2;1001;Adamastor pequeno;2
2;2;Lula;3
2;1002;Candidato Aleatorio;2
