1;codigo_do_canditado;nome_ canditado;codigo_do_partido
2;1001;Adamastor pequeno;2
2;2;Lula Livre;3
2;1002;Candidato Aleatorio;2
2;1;Candidato 1;3
2;2;Candidato 2;1
2;3;Candidato 3;1
2;4;Candidato 4;2
2;5;Candidato 5;30
2;6;Candidato 6;3
2;7;Candidato 7;2
2;8;Candidato 8;2
2;9;Candidato 9;3
2;10;Candidato 10;2
2;11;Candidato 11;30
2;12;Candidato 12;3
2;13;Candidato 13;2
2;14;Candidato 14;3
2;15;Candidato 15;3
2;16;Candidato 16;2
2;17;Candidato 17;30
2;18;Candidato 18;2
2;19;Candidato 19;1
2;20;Candidato 20;1
2;21;Candidato 21;30
2;22;Candidato 22;3
2;23;Candidato 23;3
2;24;Candidato 24;1
2;25;Candidato 25;1
2;26;Candidato 26;2
2;27;Candidato 27;3
2;28;Candidato 28;1
2;29;Candidato 29;3
2;30;Candidato 30;3
2;31;Candidato 31;2
2;32;Candidato 32;3
2;33;Candidato 33;2
2;34;Candidato 34;1
2;35;Candidato 35;1
2;36;Candidato 36;30
2;37;Candidato 37;3
2;38;Candidato 38;1
2;39;Candidato 39;3
2;40;Candidato 40;3
2;41;Candidato 41;30
2;42;Candidato 42;2
2;43;Candidato 43;30
2;44;Candidato 44;2
2;45;Candidato 45;3
2;46;Candidato 46;2
2;47;Candidato 47;2
2;48;Candidato 48;1
2;49;Candidato 49;2
2;50;Candidato 50;30
2;51;Candidato 51;3
2;52;Candidato 52;30
2;53;Candidato 53;1
2;54;Candidato 54;1
2;55;Candidato 55;2
2;56;Candidato 56;3
2;57;Candidato 57;1
2;58;Candidato 58;1
2;59;Candidato 59;30
2;60;Candidato 60;30
2;61;Candidato 61;2
2;62;Candidato 62;1
2;63;Candidato 63;1
2;64;Candidato 64;2
2;65;Candidato 65;3
2;66;Candidato 66;1
2;67;Candidato 67;2
2;68;Candidato 68;2
2;69;Candidato 69;2
2;70;Candidato 70;2
2;71;Candidato 71;30
2;72;Candidato 72;30
2;73;Candidato 73;1
2;74;Candidato 74;30
2;75;Candidato 75;1
2;76;Candidato 76;2
2;77;Candidato 77;2
2;78;Candidato 78;1
2;79;Candidato 79;3
2;80;Candidato 80;30
2;81;Candidato 81;30
2;82;Candidato 82;3
2;83;Candidato 83;2
2;84;Candidato 84;30
2;85;Candidato 85;3
2;86;Candidato 86;2
2;87;Candidato 87;1
2;88;Candidato 88;30
2;89;Candidato 89;3
2;90;Candidato 90;30
2;91;Candidato 91;2
2;92;Candidato 92;2
2;93;Candidato 93;2
2;94;Candidato 94;1
2;95;Candidato 95;30
2;96;Candidato 96;3
2;97;Candidato 97;30
2;98;Candidato 98;2
2;99;Candidato 99;1
2;100;Candidato 100;3
